54.209.117.121 - - [15/Dec/2016:11:10:13 +0100] "GET /core/themes/stable/css/system/components/item-list.module.css?oh31p8 HTTP/1.1" 301 697 "-" "roboto"
54.209.117.121 - - [15/Dec/2016:11:10:13 +0100] "GET /core/themes/stable/css/system/components/js.module.css?oh31p8 HTTP/1.1" 301 683 "-" "roboto"
54.209.117.121 - - [15/Dec/2016:11:10:13 +0100] "GET /core/themes/stable/css/system/components/nowrap.module.css?oh31p8 HTTP/1.1" 301 691 "-" "roboto"
54.209.117.121 - - [15/Dec/2016:11:10:14 +0100] "GET /core/themes/stable/css/system/components/position-container.module.css?oh31p8 HTTP/1.1" 301 715 "-" "roboto"
54.209.117.121 - - [15/Dec/2016:11:10:14 +0100] "GET /core/themes/stable/css/system/components/progress.module.css?oh31p8 HTTP/1.1" 301 695 "-" "roboto"
54.209.117.121 - - [15/Dec/2016:11:10:15 +0100] "GET /core/themes/stable/css/system/components/reset-appearance.module.css?oh31p8 HTTP/1.1" 301 711 "-" "roboto"
54.209.117.121 - - [15/Dec/2016:11:10:15 +0100] "GET /core/themes/stable/css/system/components/resize.module.css?oh31p8 HTTP/1.1" 301 691 "-" "roboto"
54.209.117.121 - - [15/Dec/2016:11:10:15 +0100] "GET /core/themes/stable/css/system/components/sticky-header.module.css?oh31p8 HTTP/1.1" 301 705 "-" "roboto"
54.209.117.121 - - [15/Dec/2016:11:10:16 +0100] "GET /core/themes/stable/css/system/components/tabledrag.module.css?oh31p8 HTTP/1.1" 301 697 "-" "roboto"
54.209.117.121 - - [15/Dec/2016:11:10:16 +0100] "GET /core/themes/stable/css/system/components/tablesort.module.css?oh31p8 HTTP/1.1" 301 697 "-" "roboto"
54.209.117.121 - - [15/Dec/2016:11:10:17 +0100] "GET /core/themes/stable/css/system/components/tree-child.module.css?oh31p8 HTTP/1.1" 301 699 "-" "roboto"
54.209.117.121 - - [15/Dec/2016:11:10:17 +0100] "GET /themes/custom/capfi/css/main.css HTTP/1.1" 301 625 "-" "roboto"
54.208.31.92 - - [15/Dec/2016:11:23:21 +0100] "GET /robots.txt HTTP/1.1" 301 564 "-" "-"
54.208.31.92 - - [15/Dec/2016:11:23:22 +0100] "GET / HTTP/1.1" 301 544 "-" "CheckMarkNetwork/1.0 (+http://www.checkmarknetwork.com/spider.html)"
54.208.31.92 - - [15/Dec/2016:11:23:24 +0100] "GET /core/themes/stable/css/system/components/ajax-progress.module.css?oh31p8 HTTP/1.1" 301 688 "-" "roboto"
54.208.31.92 - - [15/Dec/2016:11:23:24 +0100] "GET /core/themes/stable/css/system/components/align.module.css?oh31p8 HTTP/1.1" 301 672 "-" "roboto"
54.208.31.92 - - [15/Dec/2016:11:23:25 +0100] "GET /core/themes/stable/css/system/components/autocomplete-loading.module.css?oh31p8 HTTP/1.1" 301 702 "-" "roboto"
54.208.31.92 - - [15/Dec/2016:11:23:25 +0100] "GET /core/themes/stable/css/system/components/fieldgroup.module.css?oh31p8 HTTP/1.1" 301 682 "-" "roboto"
54.208.31.92 - - [15/Dec/2016:11:23:25 +0100] "GET /core/themes/stable/css/system/components/container-inline.module.css?oh31p8 HTTP/1.1" 301 694 "-" "roboto"
54.208.31.92 - - [15/Dec/2016:11:23:26 +0100] "GET /core/themes/stable/css/system/components/clearfix.module.css?oh31p8 HTTP/1.1" 301 678 "-" "roboto"
54.208.31.92 - - [15/Dec/2016:11:23:26 +0100] "GET /core/themes/stable/css/system/components/details.module.css?oh31p8 HTTP/1.1" 301 676 "-" "roboto"
54.208.31.92 - - [15/Dec/2016:11:23:27 +0100] "GET /core/themes/stable/css/system/components/hidden.module.css?oh31p8 HTTP/1.1" 301 674 "-" "roboto"
54.208.31.92 - - [15/Dec/2016:11:23:27 +0100] "GET /core/themes/stable/css/system/components/item-list.module.css?oh31p8 HTTP/1.1" 301 680 "-" "roboto"
54.208.31.92 - - [15/Dec/2016:11:23:27 +0100] "GET /core/themes/stable/css/system/components/js.module.css?oh31p8 HTTP/1.1" 301 666 "-" "roboto"
54.208.31.92 - - [15/Dec/2016:11:23:28 +0100] "GET /core/themes/stable/css/system/components/nowrap.module.css?oh31p8 HTTP/1.1" 301 674 "-" "roboto"
54.208.31.92 - - [15/Dec/2016:11:23:28 +0100] "GET /core/themes/stable/css/system/components/position-container.module.css?oh31p8 HTTP/1.1" 301 698 "-" "roboto"
54.208.31.92 - - [15/Dec/2016:11:23:29 +0100] "GET /core/themes/stable/css/system/components/progress.module.css?oh31p8 HTTP/1.1" 301 678 "-" "roboto"
54.208.31.92 - - [15/Dec/2016:11:23:29 +0100] "GET /core/themes/stable/css/system/components/reset-appearance.module.css?oh31p8 HTTP/1.1" 301 694 "-" "roboto"
54.208.31.92 - - [15/Dec/2016:11:23:29 +0100] "GET /core/themes/stable/css/system/components/resize.module.css?oh31p8 HTTP/1.1" 301 674 "-" "roboto"
54.208.31.92 - - [15/Dec/2016:11:23:30 +0100] "GET /core/themes/stable/css/system/components/sticky-header.module.css?oh31p8 HTTP/1.1" 301 688 "-" "roboto"
54.208.31.92 - - [15/Dec/2016:11:23:30 +0100] "GET /core/themes/stable/css/system/components/tabledrag.module.css?oh31p8 HTTP/1.1" 301 680 "-" "roboto"
54.208.31.92 - - [15/Dec/2016:11:23:30 +0100] "GET /core/themes/stable/css/system/components/tablesort.module.css?oh31p8 HTTP/1.1" 301 680 "-" "roboto"
54.208.31.92 - - [15/Dec/2016:11:23:31 +0100] "GET /core/themes/stable/css/system/components/tree-child.module.css?oh31p8 HTTP/1.1" 301 682 "-" "roboto"
54.208.31.92 - - [15/Dec/2016:11:23:31 +0100] "GET /themes/custom/capfi/css/main.css HTTP/1.1" 301 608 "-" "roboto"
46.229.164.98 - - [15/Dec/2016:11:45:06 +0100] "GET /robots.txt HTTP/1.1" 301 585 "-" "Mozilla/5.0 (compatible; SemrushBot/1.1~bl; +http://www.semrush.com/bot.html)"
46.229.164.101 - - [15/Dec/2016:12:03:50 +0100] "GET /robots.txt HTTP/1.1" 301 568 "-" "Mozilla/5.0 (compatible; SemrushBot/1.1~bl; +http://www.semrush.com/bot.html)"
157.55.39.128 - - [15/Dec/2016:13:00:48 +0100] "GET / HTTP/1.1" 301 598 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
220.181.108.166 - - [15/Dec/2016:13:39:44 +0100] "GET /robots.txt HTTP/1.1" 301 568 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
